contrast,estimate,SE,df,t.ratio,p.value
PSEMEN - UMBCAL,-0.091,0.118,1437,-0.7709,1
QUEAGR - QUEBER,0.0963,0.0477,1437,2.0182,0.9493
QUEAGR - QUEDOU,0.2683,0.0259,1437,10.3576,0
QUEAGR - QUEDUR,0.1159,0.0689,1437,1.6816,0.9945
QUEAGR - QUEGAR,0.3526,0.0679,1437,5.1921,1e-4
QUEAGR - QUEKEL,0.4856,0.0354,1437,13.7,0
QUEAGR - SALLEU,0.5854,0.0415,1437,14.1124,0
QUEAGR - SALMEL,0.607,0.0431,1437,14.0723,0
QUEAGR - UMBCAL,0.4867,0.0798,1437,6.1007,0
QUEBER - QUEDOU,0.1721,0.0469,1437,3.6662,0.0498
QUEBER - QUEDUR,0.0197,0.0793,1437,0.248,1
QUEBER - QUEGAR,0.2563,0.0784,1437,3.2702,0.1629
QUEBER - QUEKEL,0.3894,0.0528,1437,7.3745,0
QUEBER - SALLEU,0.4891,0.057,1437,8.5774,0
QUEBER - SALMEL,0.5107,0.0582,1437,8.7696,0
QUEBER - UMBCAL,0.3904,0.0889,1437,4.3938,0.0031
QUEDOU - QUEDUR,-0.1524,0.0684,1437,-2.2278,0.8701
QUEDOU - QUEGAR,0.0842,0.0674,1437,1.2504,1
QUEDOU - QUEKEL,0.2173,0.0344,1437,6.3159,0
QUEDOU - SALLEU,0.3171,0.0406,1437,7.8107,0
QUEDOU - SALMEL,0.3387,0.0423,1437,8.0097,0
QUEDOU - UMBCAL,0.2184,0.0793,1437,2.7529,0.4944
QUEDUR - QUEGAR,0.2366,0.0928,1437,2.5488,0.6583
QUEDUR - QUEKEL,0.3697,0.0726,1437,5.0954,1e-4
QUEDUR - SALLEU,0.4695,0.0757,1437,6.2027,0
QUEDUR - SALMEL,0.4911,0.0766,1437,6.4103,0
QUEDUR - UMBCAL,0.3708,0.1018,1437,3.6404,0.0543
QUEGAR - QUEKEL,0.1331,0.0716,1437,1.8593,0.9799
QUEGAR - SALLEU,0.2329,0.0748,1437,3.1151,0.2402
QUEGAR - SALMEL,0.2545,0.0757,1437,3.3622,0.1267
QUEGAR - UMBCAL,0.1341,0.1011,1437,1.326,0.9999
QUEKEL - SALLEU,0.0998,0.0473,1437,2.1109,0.9204
QUEKEL - SALMEL,0.1214,0.0487,1437,2.4911,0.7026
QUEKEL - UMBCAL,0.001,0.0829,1437,0.0124,1
SALLEU - SALMEL,0.0216,0.0533,1437,0.4055,1
SALLEU - UMBCAL,-0.0987,0.0857,1437,-1.1524,1
SALMEL - UMBCAL,-0.1203,0.0865,1437,-1.3913,0.9997
