"","Species","date","wp","time","lfm","study","tissue_age","Sp.Site"
"213","PSEMEN",2022-06-16,-1.01,"md",1.427350427,"Pepperwood",NA,"PSEMEN_Pepperwood"
"214","QUEDOU",2022-06-16,-0.26,"pd",1.045822102,"Pepperwood",NA,"QUEDOU_Pepperwood"
"215","QUEDOU",2022-06-16,-2.65,"md",1.045822102,"Pepperwood",NA,"QUEDOU_Pepperwood"
"216","QUEDOU",2022-06-16,-0.23,"pd",1.095679012,"Pepperwood",NA,"QUEDOU_Pepperwood"
"217","QUEDOU",2022-06-16,-1.63,"md",1.095679012,"Pepperwood",NA,"QUEDOU_Pepperwood"
"218","QUEDOU",2022-06-16,-0.97,"md",1.211081794,"Pepperwood",NA,"QUEDOU_Pepperwood"
"219","QUEAGR",2022-06-16,-0.38,"pd",1.037634409,"Pepperwood",NA,"QUEAGR_Pepperwood"
"220","QUEAGR",2022-06-16,-1.71,"md",1.037634409,"Pepperwood",NA,"QUEAGR_Pepperwood"
"221","QUEGAR",2022-06-16,-0.35,"pd",0.857418112,"Pepperwood",NA,"QUEGAR_Pepperwood"
"222","QUEGAR",2022-06-16,-1.23,"md",0.857418112,"Pepperwood",NA,"QUEGAR_Pepperwood"
"223","QUEDOU",2022-06-16,-0.23,"pd",1.009160305,"Pepperwood",NA,"QUEDOU_Pepperwood"
"224","QUEDOU",2022-06-16,-1.87,"md",1.009160305,"Pepperwood",NA,"QUEDOU_Pepperwood"
"225","PSEMEN",2022-06-16,-0.48,"pd",1.338790932,"Pepperwood",NA,"PSEMEN_Pepperwood"
"226","PSEMEN",2022-06-16,-1.53,"md",1.338790932,"Pepperwood",NA,"PSEMEN_Pepperwood"
"227","QUEKEL",2022-06-16,-0.32,"pd",1.255912162,"Pepperwood",NA,"QUEKEL_Pepperwood"
"228","QUEKEL",2022-06-16,-2.7,"md",1.255912162,"Pepperwood",NA,"QUEKEL_Pepperwood"
"229","ARBMEN",2022-06-16,-0.19,"pd",1.787968442,"Pepperwood",NA,"ARBMEN_Pepperwood"
"230","ARBMEN",2022-06-16,-1.72,"md",1.787968442,"Pepperwood",NA,"ARBMEN_Pepperwood"
"231","ARBMEN",2022-06-16,-0.12,"pd",1.858657244,"Pepperwood",NA,"ARBMEN_Pepperwood"
"232","ARBMEN",2022-06-16,-1.7,"md",1.858657244,"Pepperwood",NA,"ARBMEN_Pepperwood"
"233","ARBMEN",2022-06-16,-0.2,"pd",1.617021277,"Pepperwood",NA,"ARBMEN_Pepperwood"
"234","ARBMEN",2022-06-16,-1.83,"md",1.617021277,"Pepperwood",NA,"ARBMEN_Pepperwood"
"235","ARBMEN",2022-06-16,-0.33,"pd",2.050669216,"Pepperwood",NA,"ARBMEN_Pepperwood"
