x1,species,date,mwp,lfm,study,tissue_age,sp_site,ilfm,study_nice
216,ADEFAS,2015-10-07,-6.07,0.5781,StuntRanch,both,ADEFAS_StuntRanch,1.7298045320878743,StR
217,ADEFAS,2015-10-07,-6.41,0.5253,StuntRanch,both,ADEFAS_StuntRanch,1.9036740909956216,StR
218,ADEFAS,2015-10-07,-6.62,0.5671,StuntRanch,both,ADEFAS_StuntRanch,1.763357432551578,StR
219,ADEFAS,2015-10-07,-6.83,0.5345,StuntRanch,both,ADEFAS_StuntRanch,1.8709073900841908,StR
220,ARCGLA,2015-10-07,-3.59,0.7664,StuntRanch,both,ARCGLA_StuntRanch,1.3048016701461378,StR
221,ARCGLA,2015-10-07,-3.79,0.7578,StuntRanch,both,ARCGLA_StuntRanch,1.3196093956188968,StR
222,ARCGLA,2015-10-07,-4.14,0.7063,StuntRanch,both,ARCGLA_StuntRanch,1.4158289678606824,StR
223,ARCGLA,2015-10-07,-5.24,0.664,StuntRanch,both,ARCGLA_StuntRanch,1.506024096385542,StR
224,ARCGLA,2015-10-07,-5.65,0.6275,StuntRanch,both,ARCGLA_StuntRanch,1.5936254980079683,StR
225,CERBET,2015-10-07,-4,0.6134,StuntRanch,both,CERBET_StuntRanch,1.6302575806977504,StR
226,CERBET,2015-10-07,-4.76,0.5542,StuntRanch,both,CERBET_StuntRanch,1.8044027426921687,StR
227,CERBET,2015-10-07,-5.17,0.5107,StuntRanch,both,CERBET_StuntRanch,1.9580967299784608,StR
228,CERBET,2015-10-07,-5.52,0.5121,StuntRanch,both,CERBET_StuntRanch,1.9527436047646944,StR
229,CEASPI,2015-10-07,-3.65,0.6511,StuntRanch,both,CEASPI_StuntRanch,1.5358623867301489,StR
230,CEASPI,2015-10-07,-3.86,0.7375,StuntRanch,both,CEASPI_StuntRanch,1.3559322033898304,StR
231,CEASPI,2015-10-07,-4.69,0.7053,StuntRanch,both,CEASPI_StuntRanch,1.4178363816815538,StR
232,CEASPI,2015-10-07,-4.83,0.6278,StuntRanch,both,CEASPI_StuntRanch,1.5928639694170117,StR
233,CEASPI,2015-10-07,-4.9,0.6198,StuntRanch,both,CEASPI_StuntRanch,1.6134236850596966,StR
